estimated_true_dist,best_x,min_error,empirical_min_dist,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
49.64679944754613,0.04270983634948731,1.0000732264315007,49.999,0.5,0.25,0.25,50
99.49432401143122,0.09343003428649901,1.0024204520527076,99.988,0.5,0.25,0.25,100
149.34360382946412,0.14433333763122558,1.0142731118527961,149.965,0.5,0.25,0.25,150
199.68388074432437,0.1977085639801025,1.0461888271938282,199.915,0.5,0.25,0.25,200
249.64820918370515,0.24760478758239746,1.101213632907048,249.85500000000002,0.5,0.25,0.25,250
299.4292017167266,0.2964939314422607,1.184027302542434,299.7619999999999,0.5,0.25,0.25,300
349.25874046474615,0.34657326045227044,1.3039823800987058,349.62000000000006,0.5,0.25,0.25,350
399.25767407996693,0.3969272475738525,1.4670206195236122,399.427,0.5,0.25,0.25,400
449.2519728684673,0.44691502388000487,1.678686172603275,449.0630000000002,0.5,0.25,0.25,450
499.2583517838603,0.49736056370544435,1.9540380825975041,498.33600000000024,0.5,0.25,0.25,500
549.0018266887447,0.5467990237884521,2.2979605063921467,546.681,0.5,0.25,0.25,550
599.2451561999633,0.597336116317749,2.7405100971908674,593.3170000000002,0.5,0.25,0.25,600
648.7547912434648,0.6466830236968993,3.2807752264182715,636.3090000000004,0.5,0.25,0.25,650
698.4861902770383,0.6963961418914794,3.959978744241081,675.303,0.5,0.25,0.25,700
747.9399507409249,0.7457430492706298,4.799928829468543,710.0789999999994,0.5,0.25,0.25,750
797.6884809337329,0.7958223782806395,5.851721211016921,741.0369999999997,0.5,0.25,0.25,800
847.0846754980945,0.8448030748443602,7.1282447911823725,768.835,0.5,0.25,0.25,850
897.4842506462581,0.8958894835968017,8.766309975934647,793.4890000000001,0.5,0.25,0.25,900
947.0731012278327,0.9451448382720946,10.709487023237735,815.5480000000005,0.5,0.25,0.25,950
996.0672455358607,0.9943086402435303,13.08704384295843,834.6559999999995,0.5,0.25,0.25,1000
1043.5902676736055,1.041366730026245,15.851498964270503,851.3410000000001,0.5,0.25,0.25,1050
1092.3503670438417,1.089889663070679,19.2907543659973,866.7069999999994,0.5,0.25,0.25,1100
1139.0126074041832,1.1358491204071044,23.229108012711066,880.0609999999999,0.5,0.25,0.25,1150
1186.262757603964,1.1825409993743896,28.0325721406123,892.174,0.5,0.25,0.25,1200
1231.47179576244,1.2265778499298097,33.4321549998665,902.9170000000004,0.5,0.25,0.25,1250
1277.1976814017278,1.2717133329315187,40.027491679913254,912.4979999999994,0.5,0.25,0.25,1300
1320.4120878446943,1.3135529185943602,47.22688114509263,921.0400000000008,0.5,0.25,0.25,1350
1365.848320489861,1.3585968488922118,56.4103997393331,928.7199999999995,0.5,0.25,0.25,1400
1407.18766865218,1.3987884858856199,66.03150092969986,935.4920000000003,0.5,0.25,0.25,1450
1451.0993812059507,1.442184467514038,78.15875397336443,941.6610000000001,0.5,0.25,0.25,1500
