empirical_min_dist,estimated_true_dist0,best_x0,estimated_true_dist1,best_x1,estimated_true_dist2,best_x2,estimated_true_dist3,best_x3,estimated_true_dist4,best_x4,estimated_true_dist5,best_x5,estimated_true_dist6,best_x6,empirical_true_dist
99.972,99.99563223348838,0.099,99.99563223348838,0.099,99.9472541501983,0.0985,99.99563223348838,0.099,99.99563223348838,0.099,99.99563223348838,0.099,99.99563223348838,0.099,100
199.84400000000002,199.86504031982807,0.199,199.9584327786118,0.1995,199.77167489174252,0.1985,199.86504031982807,0.199,199.9584327786118,0.1995,199.9584327786118,0.1995,199.9584327786118,0.1995,200
299.59899999999993,299.43517139869914,0.2985,299.97536025850405,0.3005,299.7051933827188,0.2995,299.57016427706117,0.299,299.97536025850405,0.3005,299.97536025850405,0.3005,299.8402587113194,0.3,300
399.07700000000017,397.5917366132491,0.3935,399.84503949744885,0.4,399.32440113907757,0.3985,398.97752393774346,0.3975,399.84503949744885,0.4,399.84503949744885,0.4,399.84503949744885,0.4,400
497.666,494.56740851703853,0.487,499.77782717180713,0.4995,499.1510018150247,0.498,498.5246055039141,0.4965,499.77782717180713,0.4995,499.77782717180713,0.4995,498.5246055039141,0.4965,500
592.05,593.1648986087471,0.5864999999999999,599.4201969523155,0.5994999999999999,598.6966884813086,0.598,597.7327168941513,0.596,599.1789770302842,0.599,599.1789770302842,0.599,598.2146017378151,0.597,600
673.8230000000002,692.0359626229284,0.6859999999999999,698.7845580119335,0.6985,697.9730160606595,0.697,696.6214812327671,0.6945,698.5139923062076,0.698,698.5139923062076,0.698,697.4322467960876,0.696,700
739.8290000000001,788.8112371357441,0.7819999999999999,799.1877629657364,0.7995,797.1073725325862,0.7959999999999999,795.6229324584601,0.7935,799.1877629657364,0.7995,799.1877629657364,0.7995,795.3261999579,0.7929999999999999,800
792.0750000000007,882.9244930688976,0.874,899.2570427899213,0.8995,895.723110891543,0.894,892.8362881883203,0.8895,898.9355225692523,0.8989999999999999,898.9355225692523,0.8989999999999999,891.8749315496744,0.888,900
833.3140000000003,974.342072393628,0.963,998.2387654356963,0.998,992.7552986738195,0.99,988.992720984939,0.9844999999999999,998.2387654356963,0.998,998.2387654356963,0.998,985.9186956710694,0.98,1000
865.4889999999999,1060.8129796542225,1.0465,1095.72225465237,1.095,1088.849233104473,1.0855,1082.7140745329598,1.077,1095.3600955012555,1.0945,1095.3600955012555,1.0945,1083.0745883284383,1.0775,1100
891.1239999999998,1143.4368285447356,1.126,1192.3463690788365,1.191,1183.6377429405127,1.1795,1175.3297711340615,1.1684999999999999,1192.3463690788365,1.191,1192.3463690788365,1.191,1192.3463690788365,1.191,1200
911.5619999999998,1221.6179830766184,1.201,1291.564738811604,1.2905,1277.7811630358296,1.273,1266.0072985551144,1.258,1291.564738811604,1.2905,1291.564738811604,1.2905,1291.564738811604,1.2905,1300
927.853999999999,1292.4139241075572,1.268,1384.722408721592,1.3825,1368.8541293753144,1.363,1352.2359017396918,1.3425,1384.722408721592,1.3825,1384.722408721592,1.3825,1384.3147998261038,1.382,1400
940.6729999999995,1352.1153425826772,1.323,1478.6840681778167,1.476,1456.5114601536604,1.4495,1431.948288977067,1.42,1478.6840681778167,1.476,1478.6840681778167,1.476,1478.6840681778167,1.476,1500
