empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_ab,best_p_bb,best_alpha,min_error,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
99.972,99.9879554245272,0.09825389378885774,0.47000000000000003,0.13,0.4,0.4898429115192312,0.000674139634085705,0.53,0.48,0.45,100
199.84400000000002,199.97539287616033,0.19973485943116104,0.42000000000000004,0.2,0.37999999999999995,0.5243127563470948,0.0011459859159727432,0.53,0.48,0.45,200
299.59899999999993,299.8872492581187,0.3002709946448736,0.37,0.29,0.34,0.5262063071364177,0.001067141481394169,0.53,0.48,0.45,300
399.07700000000017,406.5004325247199,0.20863832934203264,0.03,0.01,0.96,0.5412149667022832,0.014190461703999619,0.53,0.48,0.45,400
497.666,499.6325774752334,0.49946621927671636,0.5,0.08,0.42,0.5401873528699476,0.0012994602540126452,0.53,0.48,0.45,500
592.05,639.2302380743976,0.6382126473212073,0.74,0.01,0.25,0.8715326609174664,0.0006105822338905377,0.53,0.48,0.45,600
673.8230000000002,723.7383083844197,0.7230813458031469,0.6900000000000001,0.02,0.2899999999999999,0.7977191454081866,0.0004244720804734535,0.53,0.48,0.45,700
739.8290000000001,842.955348304484,0.11578863324176603,0.98,0.01,0.010000000000000018,0.1272495842524336,0.01035093988130679,0.53,0.48,0.45,800
792.0750000000007,964.9928655692534,0.968892375947193,0.7100000000000001,0.01,0.2799999999999999,0.8288245294946686,0.00038212671617756283,0.53,0.48,0.45,900
833.3140000000003,1064.7154673577957,1.0686694453008996,0.31,0.01,0.6799999999999999,0.2086198377276545,0.0004056259487002216,0.53,0.48,0.45,1000
865.4889999999999,1140.4669967739542,1.143469923909557,0.22,0.0,0.78,0.29254851060072956,0.0001951930210130714,0.53,0.48,0.45,1100
891.1239999999998,1271.0104986637273,1.2734322433090692,0.06999999999999999,0.03,0.9,0.1488748578641858,0.00018801120510071804,0.53,0.48,0.45,1200
911.5619999999998,1354.1745224232056,1.358573477712567,0.9400000000000001,0.0,0.05999999999999994,0.900420865171713,0.00012109863130764047,0.53,0.48,0.45,1300
927.853999999999,1455.9048513777132,1.4596761945593262,0.9600000000000001,0.0,0.039999999999999925,0.9287921258157893,0.000210214550622181,0.53,0.48,0.45,1400
940.6729999999995,1500.160808785185,1.4989493678477943,0.8400000000000001,0.0,0.15999999999999992,0.8090021784020696,0.0006862921677721717,0.53,0.48,0.45,1500
