gamma,error
0.1,1.3655023490818887
0.2,1.4088943242519978
0.30000000000000004,1.074815443769846
0.4,1.657809062515642
0.5,1.5170402877217906
0.6,0.03531317971074316
0.7,0.5442900989425694
0.7999999999999999,2.541054445029961
0.8999999999999999,3.069175393916787
0.9999999999999999,2.316592593417673
1.0999999999999999,3.397182450820526
1.2,5.766255163892786
1.3,6.863198091051904
1.4000000000000001,11.805635382008507
1.5000000000000002,14.721828784414335
1.6000000000000003,19.43964736126387
1.7000000000000004,28.27963063120596
1.8000000000000005,33.14156939910344
1.9000000000000006,39.819131421698835
2.0000000000000004,48.784331617937205
