x,AAA,AAB,ABB,BBB,all
0.05,0.6518611337431269,0.8276947919244283,6.31077185009553,3.6735934264325283,1.8446825242944698
0.1,0.5285900579288723,0.8454650462911795,3.549365300759773,1.6085543396940347,1.2754449333874294
0.15000000000000002,1.6842603097628608,1.4052097661063234,0.12012070225014397,0.8466205168952212,0.4702618798844728
0.2,0.8867309978128579,1.4603525384099372,2.426427513523566,0.7556954545373044,1.0368943938879338
0.25,0.30040284629955805,0.2383037739982849,3.6483399359052493,0.7907574432262313,0.8204607831813897
0.3,0.2603290735806775,2.3623147292182605,2.8322107738352815,0.9103778360853395,0.7677431967529728
0.35,0.44457932484939267,0.2738499794207471,1.6842577582561145,0.8426710184255515,0.7088134697492099
0.39999999999999997,1.2676625268066763,1.6148039792977562,0.9757350090434187,0.7927875596332736,0.7801454213821575
0.44999999999999996,0.6186059580106752,1.0841322385407854,0.6252074303661215,0.05997980836394204,0.23373411187353696
0.49999999999999994,0.5339251727264022,1.584439324464723,0.24950180048912837,0.6123684494040731,0.294251676485042
0.5499999999999999,1.8538434786182387,1.6762501676126988,0.7091313168023232,0.7544685648052498,1.285926663347908
0.6,1.7195329267236517,1.427077247109038,1.0617990791523302,0.007499254807494211,0.9361993954849108
0.65,2.267379450615049,3.336142694113768,1.34065322938995,0.4828567528344221,1.1876650970265463
0.7000000000000001,3.097615759563643,2.439678407653734,3.384899516506924,1.3795453181839046,2.373843857914353
0.7500000000000001,3.937435040109141,2.1208569641676602,3.1587271594904975,1.7177369371524362,2.802760106372753
0.8000000000000002,4.471543434572752,2.6520193423311853,3.40374120069156,1.9917098504024546,3.2061359666853444
0.8500000000000002,4.7016958118620495,7.213870866833878,0.7137045464691354,3.0706734907936704,3.802153448677817
0.9000000000000002,4.654801916082062,5.940215552355965,2.522390423022033,3.88164915834676,3.82674649010887
0.9500000000000003,4.154216357839568,6.250093656881395,4.128752598890349,4.079043194198648,3.5998778813145935
1.0000000000000002,5.292959287747733,9.080518616484996,2.086712356214605,3.564396585026497,4.681708261243747
1.0500000000000003,6.5070653645246495,13.559563333004512,1.4933886987150262,5.264813777802573,6.032675020915875
1.1000000000000003,9.790479458681371,8.819646696133965,1.0289203062466605,5.7074459971223925,7.291167252438761
1.1500000000000004,11.146918005556424,9.236099037933926,2.5227869166657344,5.3843167193260735,7.5089361612315155
1.2000000000000004,13.092047216511274,8.400951940870359,1.320832284126035,6.56462587011191,9.045383751064607
1.2500000000000004,13.580567164401184,16.226060006307236,3.413575066095396,9.209156164935088,11.228112136005315
1.3000000000000005,16.9057462628994,17.771311405994172,9.264895344545288,10.11438898630944,13.659337347152317
1.3500000000000005,19.983559980272524,22.142211082770846,21.561182807269137,14.811394655803438,18.346851786164837
1.4000000000000006,21.017839852580018,22.462415255367727,26.543340768243116,18.119411957261836,20.58739542512772
1.4500000000000006,23.324378173725986,21.709568418488544,30.680347037203394,25.342157695470043,24.759040257465404
1.5000000000000007,30.150817407461847,25.693392609781153,25.693392609781153,31.007862592646358,29.703276153157407
1.5500000000000007,36.23159854397431,32.68890957419509,25.477007028573126,32.60839391579104,33.5410843793311
1.6000000000000008,44.26892540181189,42.20481152780492,36.647581867016925,36.73769910475944,40.51953158950765
1.6500000000000008,47.80827205786384,47.0324313048817,44.7784922114724,40.19110095279532,44.58394649170928
1.7000000000000008,50.56136420018644,54.643951134546874,54.643951134546874,41.99200066155208,48.35470144368953
1.7500000000000009,54.76317571641308,55.49230148504427,64.39384118803542,50.14043454874727,54.292479060379236
1.800000000000001,60.34336536868196,60.75645531275816,60.75645531275816,56.82543810300052,59.07468046303607
1.850000000000001,65.0876984154188,64.9029772430136,64.9029772430136,60.47663971556846,63.31778136634496
1.900000000000001,65.89925288727079,69.28406778586762,74.40338982155633,67.90517918801957,68.05082981679594
1.950000000000001,70.29631353417258,79.3376655235581,81.84219091464198,73.11034698882992,74.04341781170393
2.000000000000001,76.57970820613728,83.89792624645027,87.37945570667725,78.36168692958336,79.77214040056566
